bhk,price,total_sqft,location,price_per_sqft
2.0,45.0,1050.0,Anand Towers,428.57142857142856
2.0,50.0,1400.0,"Nashik Road, Nashik, Maharashtra",357.14285714285717
1.0,14.0,650.0,"Satpur, Nashik, Maharashtra",215.3846153846154
2.0,30.0,1000.0,"Krishna Nagar, Cidco, Nashik, Maharashtra",300.0
2.0,30.0,900.0,"Panchavati, Nashik, Maharashtra",333.3333333333333
2.0,50.0,900.0,"Parijat Nagar, Nashik, Maharashtra",555.5555555555555
2.0,18.0,735.0,"Sinnar, Nashik, Maharashtra",244.89795918367346
2.0,35.0,1100.0,"Laxman Nagar, Panchavati, Nashik, Maharashtra",318.1818181818182
2.0,68.0,1585.0,"Balawant Nagar, Anandvalli, Nashik, Maharashtra",429.02208201892745
2.0,34.0,980.0,"Samta Nagar, Satpur, Nashik, Maharashtra",346.9387755102041
2.0,38.51,886.0,"Panchavati, Nashik, Maharashtra",434.65011286681715
2.0,30.0,900.0,"Gulshan Colony, Wadala, Nashik, Maharashtra",333.3333333333333
2.0,30.0,950.0,"Hirawadi, Panchavati, Nashik, Maharashtra",315.7894736842105
2.0,36.0,1100.0,LOTUS Residency,327.27272727272725
2.0,42.5,960.0,"Hanuman Nagar, Dasak, Nashik, Maharashtra",442.7083333333333
2.0,36.0,600.0,Sejal,600.0
1.0,20.0,630.0,"Vijaynagar, Deola, Nashik, Maharashtra",317.46031746031747
2.0,65.0,825.0,"College Road, Nashik, Maharashtra",787.8787878787879
1.0,14.0,600.0,"Nashik, Maharashtra",233.33333333333334
1.0,20.0,585.0,Parth Society,341.88034188034186
1.0,15.0,525.0,"Nashik, Maharashtra",285.7142857142857
1.0,17.0,625.0,"Shramik Nagar, Satpur, Nashik, Maharashtra",272.0
1.0,25.0,550.0,Nirmans Ashiyana Building B Wing B,454.54545454545456
